origin_id	chr	insert_position	LTR	insert_orientation	count	inserted_gene	gene_id	gene_orientation	exon_intron	nearest_gene	nearest_gene_id	nearest_gene_orientation	nearest_gene_distance	comment	pubmed_id
  PT1_Y11.4	chr11	95460944	5LTR	-	6	not found				FAM76B	143684	-	41162		24968937
  PT4_Y12.2	chr11	118097865	3LTR	+	1	MPZL3	196264	-	UTR3				0		24968937
  PT1_Y11.4	chr1	111421307	3LTR	-	1	CD53	963	+	intronic				0		24968937
  PT4_Y12.2	chr4	1181652	3LTR	+	1	SPON2	10417	-	intronic				0		24968937
  PT1_Y11.4	chr16	14307614	3LTR	+	1	MKL2	57496	+	intronic				0		24968937
  PT1_Y11.4	chr5	180682940	5LTR	-	1	CTC-338M12.4			ncRNA_intronic				0		24968937
  PT1_Y11.4	chr19	44652316	3LTR	-	1	ZNF234	10780	+	intronic				0		24968937
  PT1_Y11.4	chr11	65268211	3LTR	-	1	MALAT1	378938	+	ncRNA_exonic				0		24968937
  PT1_Y11.4	chr22	50298647	5LTR	-	1	ALG12	79087	-	intronic				0		24968937
  PT1_Y11.4	chrX	78350639	3LTR	+	1	not found				GPR174	84636	+	75830		24968937
  PT1_Y11.4	chr1	26112722	5LTR	-	1	not found				MAN1C1	57134	+	24		24968937
  PT1_Y11.4	chr12	46288394	3LTR	+	1	ARID2	196528	+	intronic				0		24968937
  PT4_Y12.2	chr8	131313827	3LTR	+	1	ASAP1	50807	-	intronic				0		24968937
  PT1_Y4.8	chr3	51434777	5LTR	-	1	RBM15B	29890	+	UTR3				0		24968937
  PT3_Y7.2	chr4	76522819	3LTR	-	1	CDKL2	8999	-	intronic				0		24968937
  PT1_Y11.4	chr19	18268520	5LTR	+	1	PIK3R2	5296	+	intronic				0		24968937
  PT1_Y11.4	chr1	167241582	5LTR	+	1	POU2F1	5451	+	intronic				0		24968937
  PT1_Y11.4	chr6	36851286	3LTR	+	1	C6orf89			intronic				0		24968937
  PT1_Y0.2	chr5	180401789	3LTR	+	1	not found				BTNL3	10917	+	14056		24968937
  PT1_Y11.4	chr7	2454313	5LTR	-	1	CHST12	55501	+	intronic				0		24968937
  PT3_Y7.2	chr17	80126836	3LTR	+	1	CCDC57	284001	-	intronic				0		24968937
  PT1_Y11.4	chr18	2970328	3LTR	+	1	LPIN2	9663	-	intronic				0		24968937
  PT1_Y4.8	chr8	105558404	3LTR	-	1	LRP12	29967	-	intronic				0		24968937
  PT1_Y11.4	chr5	59447100	3LTR	-	1	PDE4D	5144	-	intronic				0		24968937
  PT1_Y11.4	chr22	28820612	3LTR	+	1	TTC28	23331	-	intronic				0		24968937
  PT1_Y11.4	chr16	29726370	3LTR	+	1	not found				QPRT	23475	+	17056		24968937
  PT1_Y0.2	chr12	57731635	5LTR	-	3	not found				R3HDM2	22864	-	27389		24968937
  PT3_Y7.2	chr16	2757985	3LTR	+	1	KCTD5	54442	+	UTR3				0		24968937
  PT5_Y14.5	chrX	153339082	3LTR	-	1	MECP2	4204	-	intronic				0		24968937
  PT1_Y11.4	chr1	100835813	3LTR	-	1	CDC14A	8556	+	intronic				0		24968937
  PT3_Y7.2	chr10	112777978	3LTR	+	1	not found				SHOC2	8036	+	4553		24968937
  PT1_Y0.2	chr7	77537588	3LTR	-	1	PHTF2	57157	+	intronic				0		24968937
  PT4_Y12.2	chr19	47781580	3LTR	-	1	not found				INAFM1			2600		24968937
  PT1_Y11.4	chr1	39867517	5LTR	+	1	MACF1	23499	+	intronic				0		24968937
  PT1_Y11.4	chr12	124080553	5LTR	-	3	TMED2	10959	+	intronic				0		24968937
  PT5_Y14.5	chr16	30549085	3LTR	+	1	not found				ZNF747	65988	-	2794		24968937
  PT1_Y11.4	chr1	52872112	3LTR	-	1	PRPF38A	84950	+	intronic				0		24968937
  PT1_Y0.2	chr10	27340515	5LTR	+	1	ANKRD26	22852	-	intronic				0		24968937
  PT1_Y11.4	chr12	57731635	5LTR	-	1	not found				R3HDM2	22864	-	27389		24968937
  PT1_Y0.2	chr19	50326643	5LTR	-	1	MED25	81857	+	intronic				0		24968937
  PT1_Y11.4	chr3	5200380	3LTR	-	1	ARL8B	55207	+	intronic				0		24968937
  PT1_Y11.4	chrX	13041032	5LTR	-	26	not found				FAM9C	171484	-	12704		24968937
  PT1_Y4.8	chr12	14631401	3LTR	-	1	ATF7IP	55729	+	exonic				0		24968937
  PT5_Y14.5	chr6	43002398	3LTR	-	1	not found				CUL7	9820	-	2957		24968937
  PT1_Y11.4	chr12	32007438	5LTR	-	1	not found				H3F3C	440093	-	62263		24968937
  PT1_Y11.4	chr12	112652549	5LTR	-	1	HECTD4			intronic				0		24968937
  PT1_Y11.4	chr6	90800858	3LTR	-	1	BACH2	60468	-	intronic				0		24968937
  PT1_Y11.4	chr19	30461559	3LTR	+	1	URI1			intronic				0		24968937
  PT1_Y11.4	chr20	34234466	3LTR	-	1	CPNE1	8904	-	intronic				0		24968937
  PT2_Y12.9	chr6	99369201	3LTR	+	1	FBXL4	26235	-	intronic				0		24968937
  PT1_Y11.4	chr7	97087869	3LTR	-	1	not found				TAC1	6863	+	273402		24968937
  PT5_Y14.5	chr22	43373021	3LTR	-	1	PACSIN2	11252	-	intronic				0		24968937
  PT3_Y7.2	chr17	79824300	3LTR	-	1	not found				ARHGDIA	396	-	1295		24968937
  PT1_Y11.4	chr17	4384982	3LTR	-	1	SPNS3	201305	+	intronic				0		24968937
  PT4_Y12.2	chr6	30787866	3LTR	-	1	LINC00243			ncRNA_intronic				0		24968937
  PT1_Y0.2	chr11	67860260	3LTR	-	1	CHKA	1119	-	intronic				0		24968937
  PT4_Y12.2	chr16	68130899	3LTR	-	2	NFATC3	4775	+	intronic				0		24968937
  PT1_Y4.8	chr17	79800929	3LTR	+	1	not found				P4HB	5034	-	105		24968937
  PT1_Y11.4	chr7	17880671	5LTR	+	1	SNX13	23161	-	intronic				0		24968937
  PT5_Y14.5	chr13	114901449	3LTR	-	1	not found				RASA3	22821	-	3354		24968937
  PT1_Y11.4	chr6	35567456	3LTR	-	1	FKBP5	2289	-	intronic				0		24968937
  PT4_Y12.2	chr21	45295997	3LTR	+	6	AGPAT3	56894	+	intronic				0		24968937
  PT1_Y11.4	chr8	116270149	3LTR	-	1	not found				TRPS1	7227	-	150575		24968937
  PT1_Y11.4	chr22	32185419	5LTR	-	1	DEPDC5	9681	+	intronic				0		24968937
  PT1_Y11.4	chr12	48078253	3LTR	+	1	RPAP3	79657	-	intronic				0		24968937
  PT4_Y12.2	chr1	184038325	3LTR	+	1	TSEN15	116461	+	intronic				0		24968937
  PT1_Y11.4	chr8	146170620	3LTR	-	1	ZNF16	7564	-	intronic				0		24968937
  PT1_Y11.4	chr2	242265349	5LTR	-	1	SEPT2	4735	+	intronic				0		24968937
  PT1_Y11.4	chr4	48613271	3LTR	-	1	FRYL	285527	-	intronic				0		24968937
  PT1_Y11.4	chr5	68203406	3LTR	+	1	not found				LOC101928885			60162		24968937
  PT1_Y11.4	chr1	116938166	3LTR	-	1	ATP1A1-AS1			ncRNA_intronic				0		24968937
  PT4_Y12.2	chr3	141259103	3LTR	-	1	RASA2	5922	+	intronic				0		24968937
  PT3_Y7.2	chr17	27222272	3LTR	+	1	FLOT2	2319	-	intronic				0		24968937
  PT5_Y14.5	chr1	2385745	3LTR	+	1	not found				PLCH2	9651	+	13153		24968937
  PT1_Y11.4	chr17	74254832	3LTR	-	1	not found				UBALD2			6454		24968937
  PT1_Y0.2	chrX	135759793	5LTR	-	1	ARHGEF6	9459	-	intronic				0		24968937
  PT1_Y11.4	chr16	67740024	3LTR	+	1	GFOD2	81577	-	intronic				0		24968937
  PT1_Y11.4	chr11	117005963	5LTR	+	1	not found				PAFAH1B2	5049	+	9037		24968937
  PT4_Y12.2	chr14	90159332	3LTR	-	1	not found				FOXN3	1112	-	73838		24968937
  PT1_Y11.4	chr19	38194594	5LTR	-	1	ZNF607	84775	-	intronic				0		24968937
  PT4_Y12.2	chr17	40404703	3LTR	-	3	STAT5B	6777	-	intronic				0		24968937
  PT3_Y7.2	chr12	66709123	3LTR	-	3	HELB	92797	+	exonic				0		24968937
  PT5_Y14.5	chr6	30579734	3LTR	-	1	PPP1R10	5514	-	intronic				0		24968937
  PT1_Y4.8	chrX	44881227	5LTR	-	1	KDM6A	7403	+	intronic				0		24968937
  PT1_Y0.2	chr3	47981137	5LTR	+	1	MAP4	4134	-	intronic				0		24968937
  PT1_Y0.2	chr17	76725598	3LTR	-	1	CYTH1	9267	-	intronic				0		24968937
  PT3_Y7.2	chr11	118361830	3LTR	+	1	KMT2A			intronic				0		24968937
  PT1_Y11.4	chr12	44932819	3LTR	-	1	NELL2	4753	-	intronic				0		24968937
  PT4_Y12.2	chr11	6745747	3LTR	+	1	not found				GVINP1	387751	-	2637		24968937
  PT1_Y11.4	chrY	2687831	5LTR	-	1	not found				RPS4Y1	6192	+	21792		24968937
  PT1_Y11.4	chr5	49964706	5LTR	-	1	PARP8	79668	+	intronic				0		24968937
  PT1_Y11.4	chr17	30326604	5LTR	+	1	SUZ12	23512	+	UTR3				0		24968937
  PT1_Y11.4	chr1	35949300	3LTR	-	3	KIAA0319L	79932	-	intronic				0		24968937
  PT1_Y0.2	chr4	42006195	5LTR	+	1	SLC30A9	10463	+	intronic				0		24968937
  PT2_Y12.9	chr4	106351832	3LTR	-	1	PPA2	27068	-	intronic				0		24968937
  PT1_Y11.4	chr13	20479371	5LTR	+	1	not found				ZMYM5	9205	-	41595		24968937
  PT3_Y7.2	chr16	75078944	3LTR	-	1	ZNRF1	84937	+	intronic				0		24968937
  PT1_Y11.4	chr14	91959896	5LTR	+	2	PPP4R3A			intronic				0		24968937
  PT1_Y11.4	chr19	45112447	5LTR	-	1	not found				IGSF23	147710	+	4493		24968937
  PT1_Y11.4	chr11	72806987	3LTR	+	1	FCHSD2	9873	-	intronic				0		24968937
  PT1_Y11.4	chr1	41162805	5LTR	-	1	NFYC	4802	+	intronic				0		24968937
  PT1_Y11.4	chr1	200202279	3LTR	+	2	not found				NR5A2	2494	+	55729		24968937
  PT1_Y0.2	chr6	126222556	3LTR	+	1	NCOA7	135112	+	intronic				0		24968937
  PT1_Y11.4	chr11	66975159	5LTR	-	1	KDM2A	22992	+	exonic				0		24968937
  PT1_Y11.4	chr10	32118682	3LTR	+	1	ARHGAP12	94134	-	intronic				0		24968937
  PT1_Y0.2	chr14	64532112	5LTR	-	1	MIR548AZ			ncRNA_intronic				0		24968937
  PT1_Y11.4	chr7	99918523	3LTR	-	1	PMS2P1	5379	-	ncRNA_exonic				0		24968937
  PT1_Y11.4	chr2	64251088	3LTR	-	1	not found				VPS54	51542	-	4874		24968937
  PT1_Y0.2	chr8	145746371	5LTR	-	1	LRRC14	9684	+	exonic				0		24968937
  PT1_Y11.4	chr8	66636827	5LTR	-	1	PDE7A	5150	-	intronic				0		24968937
  PT1_Y11.4	chr22	41837103	3LTR	-	1	TOB2	10766	-	intronic				0		24968937
  PT3_Y7.2	chr17	4596357	3LTR	+	2	PELP1	27043	-	intronic				0		24968937
  PT1_Y0.2	chr15	39975091	5LTR	-	2	FSIP1	161835	-	intronic				0		24968937
  PT5_Y14.5	chr11	118387848	3LTR	-	1	LOC101929089			ncRNA_intronic				0		24968937
  PT1_Y11.4	chr11	3808167	5LTR	-	1	NUP98	4928	-	intronic				0		24968937
  PT1_Y0.2	chr16	31131388	3LTR	-	1	KAT8	84148	+	intronic				0		24968937
  PT1_Y11.4	chr19	6847293	3LTR	-	2	VAV1	7409	+	intronic				0		24968937
  PT4_Y12.2	chrX	135852339	3LTR	+	1	ARHGEF6	9459	-	intronic				0		24968937
  PT1_Y11.4	chr1	229890847	5LTR	-	1	not found				URB2	9816	+	94900		24968937
  PT4_Y12.2	chr10	80823546	5LTR	+	1	ZMIZ1-AS1			ncRNA_intronic				0		24968937
  PT3_Y7.2	chr11	95071340	3LTR	+	1	not found				LOC100129203	100129203	+	103772		24968937
  PT1_Y11.4	chr3	141903731	5LTR	+	2	GK5	256356	-	intronic				0		24968937
  PT1_Y0.2	chr16	583593	3LTR	+	1	CAPN15			intronic				0		24968937
  PT5_Y14.5	chr11	65622864	3LTR	+	1	CFL1	1072	-	exonic				0		24968937
  PT4_Y12.2	chr8	22361652	3LTR	-	1	PPP3CC	5533	+	intronic				0		24968937
  PT1_Y0.2	chr21	15899422	3LTR	+	1	SAMSN1	64092	-	intronic				0		24968937
  PT1_Y0.2	chr17	73951641	3LTR	+	1	ACOX1	51	-	intronic				0		24968937
  PT1_Y11.4	chr3	48087365	3LTR	-	1	MAP4	4134	-	intronic				0		24968937
  PT1_Y11.4	chr17	73144870	3LTR	+	1	HN1	51155	-	intronic				0		24968937
  PT1_Y4.8	chr13	108927260	5LTR	+	1	TNFSF13B	10673	+	intronic				0		24968937
  PT1_Y11.4	chr7	43715751	3LTR	-	1	COA1			intronic				0		24968937
  PT1_Y11.4	chr20	32942299	3LTR	-	1	not found				ITCH	83737	+	8742		24968937
  PT1_Y11.4	chr17	76770612	5LTR	+	1	CYTH1	9267	-	intronic				0		24968937
  PT1_Y11.4	chr6	33278341	3LTR	-	1	TAPBP	6892	-	intronic				0		24968937
  PT1_Y11.4	chr1	35949753	3LTR	+	1	KIAA0319L	79932	-	intronic				0		24968937
  PT1_Y11.4	chr19	10885393	5LTR	-	1	DNM2	1785	+	intronic				0		24968937
  PT1_Y11.4	chr2	9874913	3LTR	+	4	not found				YWHAQ	10971	-	103729		24968937
  PT1_Y11.4	chr17	78345622	3LTR	+	1	LOC100294362	100294362	-	ncRNA_intronic				0		24968937
  PT1_Y0.2	chr14	50972868	5LTR	-	1	MAP4K5	11183	-	intronic				0		24968937
  PT1_Y11.4	chr14	21845014	3LTR	+	1	SUPT16H	11198	-	intronic				0		24968937
  PT5_Y14.5	chr7	7703008	3LTR	-	1	RPA3	6119	-	intronic				0		24968937
  PT5_Y14.5	chrY	15584679	3LTR	+	1	UTY	7404	-	intronic				0		24968937
  PT1_Y11.4	chr8	103397214	5LTR	-	1	UBR5	51366	-	intronic				0		24968937
  PT1_Y11.4	chr11	72574484	5LTR	+	1	FCHSD2	9873	-	intronic				0		24968937
  PT1_Y0.2	chr5	39167116	3LTR	-	2	FYB	2533	-	intronic				0		24968937
  PT1_Y11.4	chr6	131375756	3LTR	-	1	EPB41L2	2037	-	intronic				0		24968937
  PT1_Y11.4	chr5	135512657	3LTR	+	1	SMAD5	4090	+	intronic				0		24968937
  PT1_Y11.4	chr11	65931238	3LTR	-	1	PACS1	55690	+	intronic				0		24968937
  PT1_Y11.4	chr19	47603706	5LTR	+	1	ZC3H4	23211	-	intronic				0		24968937
  PT3_Y7.2	chr1	52904006	5LTR	+	1	ZCCHC11	23318	-	exonic				0		24968937
  PT3_Y7.2	chr9	130757002	5LTR	+	1	not found				FAM102A	399665	-	14190		24968937
  PT1_Y0.2	chr11	225752	3LTR	-	1	SIRT3	23410	-	intronic				0		24968937
  PT3_Y0	chr10	27431382	3LTR	+	1	YME1L1	10730	-	exonic				0		24968937
  PT4_Y12.2	chr13	85917943	5LTR	+	1	not found				LINC00351			19795		24968937
  PT1_Y11.4	chr7	140465262	3LTR	-	1	BRAF	673	-	intronic				0		24968937
  PT5_Y14.5	chr17	39494142	3LTR	-	1	not found				KRT33A	3883	-	8203		24968937
  PT1_Y11.4	chr15	89815068	3LTR	+	1	FANCI	55215	+	intronic				0		24968937
  PT1_Y11.4	chr16	69254834	3LTR	-	1	SNTB2	6645	+	intronic				0		24968937
  PT1_Y0.2	chr16	57030648	5LTR	+	1	not found				CETP	1071	+	12892		24968937
  PT3_Y7.2	chr17	65386003	3LTR	-	1	PITPNC1	26207	+	intronic				0		24968937
  PT1_Y0.2	chr10	112731059	3LTR	+	2	SHOC2	8036	+	intronic				0		24968937
  PT3_Y7.2	chr7	99809601	3LTR	-	1	GATS	352954	-	intronic				0		24968937
  PT1_Y11.4	chr7	24871164	5LTR	+	1	OSBPL3	26031	-	intronic				0		24968937
  PT3_Y7.2	chr22	30555480	3LTR	+	1	HORMAD2	150280	+	intronic				0		24968937
  PT4_Y12.2	chr12	121228486	5LTR	+	2	SPPL3	121665	-	intronic				0		24968937
  PT4_Y12.2	chr12	110585436	3LTR	+	2	IFT81	28981	+	intronic				0		24968937
  PT1_Y11.4	chr17	62141029	3LTR	-	2	ERN1	2081	-	intronic				0		24968937
  PT1_Y11.4	chr2	234923784	3LTR	-	1	TRPM8	79054	+	intronic				0		24968937
  PT1_Y11.4	chr19	46352612	3LTR	-	1	SYMPK	8189	-	intronic				0		24968937
  PT1_Y11.4	chr2	28176256	3LTR	-	1	BRE	9577	+	intronic				0		24968937
  PT1_Y11.4	chr1	150190708	5LTR	+	1	not found				ANP32E	81611	-	9		24968937
  PT1_Y11.4	chr1	51438449	5LTR	+	1	CDKN2C	1031	+	intronic				0		24968937
  PT1_Y0.2	chr12	92219270	3LTR	+	1	not found				LINC01619			159482		24968937
  PT1_Y0.2	chr3	184690379	3LTR	-	4	VPS8	23355	+	intronic				0		24968937
  PT1_Y0.2	chr6	35553071	5LTR	-	1	FKBP5	2289	-	UTR3				0		24968937
  PT1_Y11.4	chr5	98213753	5LTR	-	1	CHD1	1105	-	intronic				0		24968937
  PT5_Y14.5	chr17	48937908	3LTR	-	1	not found				TOB1	10140	-	1679		24968937
  PT1_Y11.4	chr13	108927260	5LTR	+	1	TNFSF13B	10673	+	intronic				0		24968937
  PT1_Y11.4	chr10	64996206	5LTR	-	1	JMJD1C	221037	-	intronic				0		24968937
  PT1_Y11.4	chr14	68441816	5LTR	-	1	RAD51B	5890	+	intronic				0		24968937
  PT4_Y12.2	chr16	14309457	5LTR	+	2	MKL2	57496	+	intronic				0		24968937
  PT1_Y11.4	chr5	79993939	3LTR	-	1	MSH3	4437	+	intronic				0		24968937
  PT3_Y7.2	chr3	20154192	3LTR	-	1	KAT2B	8850	+	intronic				0		24968937
  PT1_Y11.4	chr16	14304981	3LTR	+	2	MKL2	57496	+	intronic				0		24968937
  PT4_Y12.2	chr11	60843649	3LTR	+	1	not found				CD5	921	+	26281		24968937
  PT1_Y11.4	chr12	112478419	3LTR	+	1	NAA25	80018	-	intronic				0		24968937
  PT5_Y14.5	chr22	32096142	3LTR	+	1	PRR14L	253143	-	intronic				0		24968937
  PT1_Y11.4	chr16	482969	5LTR	+	1	RAB11FIP3	9727	+	intronic				0		24968937
  PT1_Y11.4	chr3	29908118	3LTR	+	1	RBMS3	27303	+	intronic				0		24968937
  PT1_Y11.4	chr17	78688943	3LTR	-	1	RPTOR	57521	+	intronic				0		24968937
  PT4_Y12.2	chr17	33744810	3LTR	-	1	SLFN12	55106	-	intronic				0		24968937
  PT1_Y11.4	chr17	4286094	3LTR	-	1	not found				UBE2G1	7326	-	16125		24968937
  PT1_Y11.4	chr6	90744822	3LTR	-	1	BACH2	60468	-	intronic				0		24968937
  PT5_Y14.5	chr11	347462	3LTR	+	1	not found				B4GALNT4	338707	+	22333		24968937
  PT1_Y11.4	chr5	131929290	3LTR	-	2	RAD50	10111	+	intronic				0		24968937
  PT1_Y11.4	chr3	57830799	3LTR	-	2	SLMAP	7871	+	intronic				0		24968937
  PT3_Y0	chr12	32670812	3LTR	+	1	FGD4	121512	+	intronic				0		24968937
  PT1_Y4.8	chr11	125502034	3LTR	-	1	CHEK1	1111	+	intronic				0		24968937
  PT1_Y11.4	chr3	183164404	5LTR	+	2	not found				LINC00888			992		24968937
  PT1_Y0.2	chr19	34676070	3LTR	+	1	LSM14A	26065	+	intronic				0		24968937
  PT3_Y0	chr6	30481556	3LTR	-	1	not found				HLA-E	3133	+	19574		24968937
  PT1_Y0.2	chr19	34721506	3LTR	+	1	not found				LSM14A	26065	+	1086		24968937
  PT1_Y11.4	chr4	151248182	5LTR	-	1	LRBA	987	-	intronic				0		24968937
  PT1_Y4.8	chr19	18386498	5LTR	-	1	not found				KIAA1683	80726	-	1179		24968937
  PT1_Y11.4	chr22	39482728	3LTR	-	1	APOBEC3G	60489	+	intronic				0		24968937
  PT4_Y12.2	chr17	73970291	3LTR	-	1	ACOX1	51	-	intronic				0		24968937
  PT1_Y11.4	chr6	90720842	5LTR	-	2	BACH2	60468	-	intronic				0		24968937
  PT1_Y11.4	chr11	62553636	3LTR	-	3	TAF6L	10629	+	intronic				0		24968937
  PT4_Y12.2	chr7	99093521	3LTR	+	1	ZNF394	84124	-	intronic				0		24968937
  PT1_Y0.2	chr12	14946441	3LTR	-	2	WBP11	51729	-	intronic				0		24968937
  PT1_Y11.4	chr15	89815073	5LTR	+	1	FANCI	55215	+	intronic				0		24968937
  PT4_Y12.2	chr14	91387657	3LTR	-	1	RPS6KA5	9252	-	intronic				0		24968937
  PT1_Y11.4	chr12	120443204	3LTR	+	1	CCDC64	92558	+	intronic				0		24968937
  PT1_Y11.4	chr12	14524604	5LTR	-	1	ATF7IP	55729	+	intronic				0		24968937
  PT1_Y11.4	chr17	15995893	3LTR	-	2	NCOR1	9611	-	intronic				0		24968937
  PT1_Y11.4	chr1	26808998	3LTR	-	3	not found				HMGN2	3151	+	5865		24968937
  PT1_Y11.4	chr7	150318113	5LTR	+	1	not found				GIMAP6	474344	-	4351		24968937
  PT1_Y4.8	chr12	76215519	5LTR	-	1	not found				PHLDA1	22822	-	203708		24968937
  PT1_Y11.4	chr2	28520051	3LTR	-	1	BRE	9577	+	intronic				0		24968937
  PT5_Y14.5	chr18	9235426	3LTR	-	1	ANKRD12	23253	+	intronic				0		24968937
  PT4_Y12.2	chr17	56638520	3LTR	-	1	TEX14	56155	-	intronic				0		24968937
  PT1_Y11.4	chr3	50076936	3LTR	+	1	RBM6	10180	+	intronic				0		24968937
  PT4_Y12.2	chr5	125780195	3LTR	-	1	GRAMD3	65983	+	intronic				0		24968937
  PT5_Y14.5	chr22	21955507	3LTR	+	1	UBE2L3	7332	+	intronic				0		24968937
  PT1_Y11.4	chr8	145746808	5LTR	-	1	LRRC14	9684	+	exonic				0		24968937
  PT1_Y11.4	chr2	43742866	5LTR	-	1	THADA	63892	-	intronic				0		24968937
  PT3_Y7.2	chr13	50343365	3LTR	-	1	KPNA3	3839	-	intronic				0		24968937
  PT4_Y12.2	chr20	57778717	3LTR	-	1	ZNF831	128611	+	intronic				0		24968937
  PT3_Y7.2	chr10	5212447	3LTR	+	1	AKR1C8P			ncRNA_intronic				0		24968937
  PT1_Y11.4	chr12	9845186	5LTR	-	1	CLEC2D	29121	+	intronic				0		24968937
  PT1_Y0.2	chr17	25805204	3LTR	-	1	KSR1	8844	+	intronic				0		24968937
  PT3_Y7.2	chr15	73910706	3LTR	-	1	NPTN	27020	-	intronic				0		24968937
  PT1_Y11.4	chr1	241797242	5LTR	+	1	CHML	1122	-	exonic				0		24968937
  PT3_Y7.2	chr10	121336827	3LTR	-	1	TIAL1	7073	-	intronic				0		24968937
  PT1_Y11.4	chr20	4029967	3LTR	+	1	not found				RNF24	11237	-	33751		24968937
  PT1_Y11.4	chr4	147352144	5LTR	-	1	SLC10A7	84068	-	intronic				0		24968937
  PT4_Y12.2	chr17	40006638	3LTR	-	1	KLHL11	55175	-	UTR3				0		24968937
  PT1_Y4.8	chr19	47603701	3LTR	+	1	ZC3H4	23211	-	intronic				0		24968937
  PT3_Y7.2	chr8	65708697	3LTR	+	1	CYP7B1	9420	-	intronic				0		24968937
  PT3_Y7.2	chr10	104291288	3LTR	-	1	SUFU	51684	+	intronic				0		24968937
  PT1_Y4.8	chr7	139756502	3LTR	+	2	PARP12	64761	-	intronic				0		24968937
  PT1_Y11.4	chr22	40695990	3LTR	+	2	TNRC6B	23112	+	intronic				0		24968937
  PT1_Y11.4	chr1	10140487	3LTR	+	1	UBE4B	10277	+	intronic				0		24968937
  PT4_Y12.2	chr15	64230395	3LTR	+	1	DAPK2	23604	-	intronic				0		24968937
  PT1_Y11.4	chr6	101249946	3LTR	+	1	ASCC3	10973	-	intronic				0		24968937
  PT1_Y11.4	chr17	28506782	3LTR	-	2	NSRP1	84081	+	intronic				0		24968937
  PT3_Y0	chr1	1735043	3LTR	+	1	GNB1	2782	-	intronic				0		24968937
  PT1_Y11.4	chr6	164435296	5LTR	-	1	not found				QKI	9444	+	435668		24968937
  PT1_Y11.4	chr17	78734380	3LTR	-	1	RPTOR	57521	+	intronic				0		24968937
  PT1_Y11.4	chr16	24144986	3LTR	-	2	PRKCB	5579	+	intronic				0		24968937
  PT1_Y0.2	chr11	74124466	3LTR	-	1	not found				PGM2L1	283209	-	14956		24968937
  PT1_Y11.4	chr1	67404598	3LTR	+	1	MIER1	57708	+	intronic				0		24968937
  PT1_Y11.4	chr10	22988011	5LTR	-	3	PIP4K2A	5305	-	intronic				0		24968937
  PT4_Y12.2	chr6	52878088	3LTR	-	1	ICK	22858	-	intronic				0		24968937
  PT1_Y11.4	chr17	80504490	5LTR	-	1	FOXK2	3607	+	intronic				0		24968937
  PT1_Y11.4	chr11	128379482	3LTR	-	1	ETS1	2113	-	intronic				0		24968937
  PT1_Y11.4	chr18	2970327	3LTR	+	2	LPIN2	9663	-	intronic				0		24968937
  PT1_Y11.4	chr3	196543500	3LTR	+	6	PAK2	5062	+	intronic				0		24968937
  PT3_Y7.2	chr17	40426483	3LTR	+	1	STAT5B	6777	-	intronic				0		24968937
  PT4_Y12.2	chr11	757513	3LTR	-	1	TALDO1	6888	+	intronic				0		24968937
  PT1_Y11.4	chr17	26492393	5LTR	-	1	NLK	51701	+	intronic				0		24968937
  PT1_Y0.2	chr7	33074794	3LTR	-	4	NT5C3A			intronic				0		24968937
  PT2_Y12.9	chr16	1589240	3LTR	-	1	IFT140	9742	-	intronic				0		24968937
  PT1_Y0.2	chr19	42048193	3LTR	-	1	not found				LINC01480			4927		24968937
  PT1_Y11.4	chr20	61365169	3LTR	+	2	NTSR1	4923	+	intronic				0		24968937
  PT1_Y11.4	chr11	72760000	5LTR	+	1	FCHSD2	9873	-	intronic				0		24968937
  PT1_Y0.2	chr4	109010813	5LTR	+	1	LEF1	51176	-	intronic				0		24968937
  PT1_Y0.2	chr6	31700469	3LTR	-	1	CLIC1	1192	-	intronic				0		24968937
  PT1_Y11.4	chr21	14640068	3LTR	-	1	not found				MIR3156-3	100423018	-	138637		24968937
  PT1_Y0.2	chr11	118636882	5LTR	+	3	DDX6	1656	-	intronic				0		24968937
  PT3_Y7.2	chr12	132248252	3LTR	+	1	SFSWAP	6433	+	intronic				0		24968937
  PT1_Y11.4	chr12	427700	5LTR	-	1	KDM5A	5927	-	intronic				0		24968937
  PT1_Y4.8	chr6	25980295	3LTR	+	1	TRIM38	10475	+	intronic				0		24968937
  PT1_Y11.4	chr16	1764209	5LTR	-	1	MAPK8IP3	23162	+	intronic				0		24968937
  PT3_Y7.2	chr18	25559558	3LTR	-	1	CDH2	1000	-	intronic				0		24968937
  PT1_Y11.4	chr19	50079056	3LTR	-	1	NOSIP	51070	-	intronic				0		24968937
  PT1_Y0.2	chr5	79770868	3LTR	-	1	ZFYVE16	9765	+	intronic				0		24968937
  PT1_Y11.4	chr6	38543425	3LTR	-	4	BTBD9	114781	-	intronic				0		24968937
  PT1_Y11.4	chr1	21196604	3LTR	+	1	EIF4G3	8672	-	intronic				0		24968937
  PT4_Y12.2	chr16	1874351	3LTR	+	1	HAGH	3029	-	intronic				0		24968937
  PT1_Y11.4	chr13	52001839	5LTR	+	1	INTS6	26512	-	intronic				0		24968937
  PT1_Y0.2	chr1	155414751	5LTR	-	1	ASH1L	55870	-	intronic				0		24968937
  PT3_Y7.2	chr15	40513337	3LTR	+	1	BUB1B	701	+	UTR3				0		24968937
  PT1_Y11.4	chr16	89799982	3LTR	+	1	ZNF276	92822	+	intronic				0		24968937
  PT1_Y11.4	chr16	14305384	3LTR	+	1	MKL2	57496	+	intronic				0		24968937
